station_id,candidate_idx,lat,lon,x_3857,y_3857,incidents_covered,weighted_coverage,backup_incidents,beats_assigned,coverage_pct,weighted_coverage_pct
0,51,34.038839129590215,-118.20818990551152,-13158875.507876122,4034018.3653361616,14426,45187.0,529,25,7.09,7.0
1,77,34.05632497932671,-118.2823830047018,-13167134.645898363,4036367.6045029988,47154,149774.0,21466,27,23.17,23.19
2,83,34.072677700874245,-118.30261574366145,-13169386.944096703,4038565.045474768,29153,91906.0,12368,24,14.32,14.23
3,111,34.076318214405724,-118.2114145279384,-13159234.471202685,4039054.307001774,10087,32273.0,279,26,4.96,5.0
4,114,34.10441878041981,-118.28717452081042,-13167668.035031702,4042831.549661399,13023,41326.0,1208,23,6.4,6.4
5,115,34.11439223247547,-118.24684522993371,-13163178.598907253,4044172.47010431,6065,19112.0,0,20,2.98,2.96
6,148,34.05368932099753,-118.24365376533791,-13162823.326693563,4036013.470495961,62463,200245.0,7096,42,30.69,31.0
7,170,34.12066986243329,-118.19822361417211,-13157766.065399123,4045016.5721253334,7801,23953.0,0,25,3.83,3.71
8,189,34.08075124017444,-118.26552476869534,-13165257.99565045,4039650.105454368,18697,61373.0,7527,23,9.19,9.5
9,209,34.08755790809724,-118.17728688115336,-13155435.398940604,4040564.982011126,5093,15347.0,180,15,2.5,2.38
